txt,情感分数,情感类型,分词,主题概率,主题类型
有台州的吗我是同性恋超话 ​,0.45091690489381,中性,台州,"[(0, 0.6684945), (1, 0.3315055)]",0
美帝之所以是美帝//:讲真大兄弟之间不玩了就决裂很简单的事，要在一起玩也是勾肩搭背兄弟义气，才不会搞什么你爱不爱我有几分爱真心的吗，就算爱我也同时爱别人吗这种拖泥带水的事儿，只有同性恋会…,0.946016586080103,积极,美帝 美帝 真大 兄弟 简单 兄弟 义气 拖泥带水 事儿,"[(0, 0.9457604), (1, 0.05423951)]",0
家族里出了同性恋！以及上个赛季打了快400把决斗、 ​,0.96952940938236,积极,家族,"[(0, 0.29459378), (1, 0.70540625)]",1
カッコイイ！！！终于把司马脸玩手机的同性恋男主换掉了 ​,0.132138463766821,消极,司马 手机 男主,"[(0, 0.47447947), (1, 0.52552056)]",1
如果给很多同性恋的微博和朋友圈真实评论的话，我应该会得罪很多人；真的很想嘴贱 ​,0.920450151045839,积极,微博 朋友圈 评论,"[(0, 0.38757542), (1, 0.61242455)]",1
气温你们真的就要当同性恋了？？？ ​,0.0748334420138366,消极,气温,"[(0, 0.7032942), (1, 0.29670578)]",0
怎么追女生呢，我也是女生，求姐妹们支招。我俩是漫展散场时候认识的，两个人都是原皮，我姬达貌似没响，找她聊了七天了，就是我不找她她也不找我。。。，我说想扩列然后加的，后边找她聊，她说她不怎么会讲话，容易说错话就没那么话多，然后我说我多找她。想约她出来，但是怕被当边台，总感觉没有熟到可以约出来，因为我不找她她也不找我呀，我是遇见她之后才弯的，她18我17超话 收起,2.41272139922533e-06,消极,追女生 女生 姐妹 支招 散场 原皮 姬达 讲话 错话 感觉,"[(0, 0.065110356), (1, 0.9348896)]",1
粉色寸头男都是男同性恋吧 ​,0.903201085554696,积极,粉色 寸头 男同性恋,"[(0, 0.45640832), (1, 0.5435916)]",1
店串会收留每一个对女同性恋抱有幻想的直女 ​,0.939470253579757,积极,女同性恋 直女,"[(0, 0.2698819), (1, 0.7301181)]",1
马上七夕了有人需要我的地址/收款码吗给我寄零食/转账什么的 没有的话我告诉你爸妈你是同性恋 ​,0.0635427287820418,消极,地址 收款 零食 爸妈,"[(0, 0.8909952), (1, 0.10900479)]",0
人还是得多约会 无论是跟男异性恋还是跟女同性恋 ​,0.892730204807011,积极,约会 异性恋 女同性恋,"[(0, 0.20568562), (1, 0.7943144)]",1
对不起 这张真的让我觉得很刻板印象的クソホモ。。。“好啦好啦我就是臭同性恋啦！”笑晕哪有人会说自己是クソホモ的。。 ​,0.24986253900898,消极,刻板 印象,"[(0, 0.21062219), (1, 0.78937775)]",1
🙈🙉🙊//:看手环 我妈果然是同性恋（不是//:呜呜呜,0.183254722319561,消极,手环,"[(0, 0.3519708), (1, 0.6480292)]",1
别说网友了我连纸片女都默认女同性恋//:别说网友了我连爱豆都默认女同性恋//:对不起,0.00153260006060985,消极,网友 纸片 女同性恋 网友 爱豆 女同性恋,"[(0, 0.9087121), (1, 0.09128788)]",0
是这样的 没喝中药时就这样的//://: //:笑,0.443716631773856,中性,中药,"[(0, 0.73384225), (1, 0.26615775)]",0
我既不是同性恋也不是异性恋别他吗问了行不行烦不烦别猜了反正不跟你谈烙铁 ​,0.00284041088321674,消极,异性恋 不烦 烙铁,"[(0, 0.3656246), (1, 0.6343754)]",1
光遇超话我服了。 我每天抽出二十三小时策划反同活动，每周空出八天时间组织反同活动，每个月挤出三十二天进行反同活动，剩余时间给善良的同性恋熬中药，为什么我做了这么多努力这个世界还是这样？！ ​,0.999882506479893,积极,光遇 小时 策划 时间 善良 中药 努力 世界,"[(0, 0.9307611), (1, 0.0692389)]",0
结合小书特别喜欢鉴别人老公是给的风气我觉得小书网友可能对异性恋和同性恋的定义有巨大 误解//:小（）书粉觉得叶是直男就算了还能理解吧（不能理解），都能是直男我真的，真的。。。。。。,0.999981806683238,积极,老公 风气 网友 异性恋 定义 书粉,"[(0, 0.91029936), (1, 0.089700624)]",0
拐娃失败丹麦这对同性恋企鹅收获了一只“弃儿”让你笑坏了的微博视频 ​,0.904981615901502,积极,拐娃 丹麦 企鹅 弃儿 微博 视频,"[(0, 0.9059084), (1, 0.0940916)]",0
男的不帅，却壮实阳光，女的不美，却勤劳善良，可天不假年，人不遂愿，竟生出个同性恋宝宝! ​,0.95404422205331,积极,不帅 壮实 阳光 不美 勤劳 善良 宝宝,"[(0, 0.93318117), (1, 0.066818796)]",0
给予是给子的感觉//:讲真大兄弟之间不玩了就决裂很简单的事，要在一起玩也是勾肩搭背兄弟义气，才不会搞什么你爱不爱我有几分爱真心的吗，就算爱我也同时爱别人吗这种拖泥带水的事儿，只有同性恋会…,0.978610330111624,积极,感觉 真大 兄弟 简单 兄弟 义气 拖泥带水 事儿,"[(0, 0.9364972), (1, 0.06350281)]",0
周末了，背着妈妈做女同性恋 ​,0.710616354265339,积极,妈妈 女同性恋,"[(0, 0.79270154), (1, 0.2072985)]",0
喷不了我真的不能不追爱豆，感觉我不是异性恋也不是同性恋我是爱豆恋 ​,0.794258569733944,积极,感觉 异性恋 爱豆,"[(0, 0.34054253), (1, 0.65945745)]",1
韩国男演员演完异性恋能别演同性恋不 好恶心啊 ​,0.578925444941334,中性,韩国 男演员 异性恋 能别 恶心,"[(0, 0.12850675), (1, 0.8714933)]",1
//:遇到直女会惊讶一下//://:难道不是吗//:难道你们不是吗😮//:真这样//:咋办//:必须是//:原来你们不是女同性恋吗//:我就这样,8.42404953615983e-06,消极,直女 惊讶 女同性恋,"[(0, 0.249663), (1, 0.750337)]",1
我是同性恋超话 游戏 ​,0.84835016997256,积极,游戏,"[(0, 0.27870286), (1, 0.72129714)]",1
自愿戒掉同性恋了!分享我的经验6:30-6:31起床并朗读反同语录7:30-7:30早饭用中药调理同性恋6:31-6:32参加反同性恋活动6:32-6:33午饭服用中药调理同性恋6:34-6:35朗读反同语录并午睡6:35-6:36参加反同性恋活动6:36-6:37给其他同性恋熬中药助力早日康复6:37-6:38晚饭用中药调理同性恋6:38-6:39听反同性恋讲座6:39-6:40发表反同活动感言6:40-6:41给善良的同性恋熬中药助力早日康复6:42-24:00不小心和女人躺在一张床上 收起,0.999379832954688,积极,经验 语录 早饭 中药 午饭 中药 语录 中药 助力 晚饭 中药 讲座 感言 善良 中药 助力 小心 女人 床上,"[(0, 0.97286737), (1, 0.027132671)]",0
狗屎亲戚，管爷唇钉，哪天公布我是同性恋吓死你们 ​,0.0240548297641624,消极,狗屎 亲戚 管爷,"[(0, 0.85409904), (1, 0.14590095)]",0
孩子们 不是每一种牛奶都叫特仑苏不是每一只川鼠都是同性恋 ​,0.911343976055475,积极,孩子 牛奶 特仑苏,"[(0, 0.4004581), (1, 0.5995419)]",1
想把小心同性恋顶在脑壳上，抱歉我是亲友的狗，亲友要啥我画啥然后印一堆时尚小垃圾 ​,0.322647900729017,中性,小心 脑壳 亲友 亲友 时尚 垃圾,"[(0, 0.6163134), (1, 0.3836866)]",0
就这样//:讲真大兄弟之间不玩了就决裂很简单的事，要在一起玩也是勾肩搭背兄弟义气，才不会搞什么你爱不爱我有几分爱真心的吗，就算爱我也同时爱别人吗这种拖泥带水的事儿，只有同性恋会…,0.955792162052016,积极,真大 兄弟 简单 兄弟 义气 拖泥带水 事儿,"[(0, 0.9310786), (1, 0.06892138)]",0
异性恋爱情总是那么顺理成章让我觉得好难嗑。同性之间如果不是比较纯的同性恋就很难察觉到对对方是爱情。 ​,0.999139408604097,积极,异性恋 爱情 同性 爱情,"[(0, 0.49415705), (1, 0.505843)]",1
//:讲真大兄弟之间不玩了就决裂很简单的事，要在一起玩也是勾肩搭背兄弟义气，才不会搞什么你爱不爱我有几分爱真心的吗，就算爱我也同时爱别人吗这种拖泥带水的事儿，只有同性恋会…,0.955792162052016,积极,真大 兄弟 简单 兄弟 义气 拖泥带水 事儿,"[(0, 0.9310648), (1, 0.06893527)]",0
笑得我崩溃// :同性恋大爆发，同性恋席卷，同性恋黑色星期五，同性恋买一送一，同性恋统治宇宙，开始同性恋节，开放同性恋俱乐部，开始同性恋俱乐部折扣活动，开始同性恋日活动，开始同性恋节，同性恋入场，同性恋重返学校，同性恋派对开始，同性恋诅咒开始，同性恋恶魔出现,0.999999539378667,积极,席卷 黑色 宇宙 俱乐部 俱乐部 入场 学校 恶魔,"[(0, 0.07340874), (1, 0.9265912)]",1
第一次看这么全的我直接马//:笑死了握草//:崩溃了//:哥，外面的流言蜚语都乱传的，我在浴室差点滑倒，还好嫂子扶住了我。我身上很滑，嫂子的手指不小心滑进去了，仅此而已。你有什么可生气的?难道我摔残废了你就满意了?我们要是同性恋还有你什么事,0.209065409888174,消极,浴室 差点 嫂子 很滑 嫂子 手指 小心 生气,"[(0, 0.06726981), (1, 0.9327302)]",1
砸锅卖铁也要把邝玲调理成同性恋//:图片评论 评论配图,0.327344883042128,中性,邝玲 图片 评论 评论,"[(0, 0.117820114), (1, 0.88217986)]",1
但是妈妈不允许我做女同性恋 ​,0.862364455233493,积极,妈妈 女同性恋,"[(0, 0.7927245), (1, 0.2072755)]",0
好累懒得思考懒得看字，但是看到原博名字一下子笑出声了。无论异性恋还是同性恋，是的这种起名格式都脑残无比，别对八木勇征的人身权利占有欲那么强行不。,0.388080501438148,中性,原博 名字 异性恋 格式 都脑 八木 勇征 占有欲,"[(0, 0.9358057), (1, 0.06419434)]",0
妙啊//:公司倒闭 贵司“同性恋”都调理好了,0.940830975122865,积极,公司 贵司,"[(0, 0.17942417), (1, 0.8205759)]",1
我服了，看小说（）看的好好的，打开评论区看见有人求主角同人图，有人发了，但ᵀᴹᴰ发的是一个乙女游戏的男主，他们找图代入的时候不注意一下这图是不是无属性的吗，把人玩家的对象（异性恋）代入成一个性取向为男且有对象的男生（同性恋），他们脑子是不是有毛病啊？！（：有好几个人讲了这图不是无属性的，发图的人一直不回复 不道歉 不删图） 收起,0.0183957434783425,消极,小说 评论 主角 同人图 乙女 游戏 男主 代入 属性 玩家 对象 异性恋 代入 性取向 对象 男生 脑子 毛病 属性,"[(0, 0.9431037), (1, 0.056896307)]",0
恐怖的同性恋//:其实这个世界是一个巨大的。,0.580195584526709,中性,恐怖 世界,"[(0, 0.73968136), (1, 0.2603186)]",0
箱子打开“同志”词条，开心地说可以获益于你之前的工作了。我告诉她百度已经删掉了我之前参加北师大的项目所做的“同志（全面性教育/相关）”词条，现在搜的话会直接导向“同性恋”。但是“同志”这个词在华语社会有它自己的源流和沿革，伴随着它相关的运动和文化一起，是有其独特的意义的。但可能因为一些这样那样的因素，就删了。于是我把当时写的单独给箱子发了一份。我自己是很喜欢这个词的，虽然一开始使用这个词的人之一是希望摆脱和性有关的、对男同的污名和病理感（同“性”恋）。但我确实觉得同志这个词本身的囊括性更强，也承载着同志活动家们构建本土的、积极的性少数身份认同的期望，以及当年同志活动家们所认为 “同志”一词承载着的尊重、平等和抵抗的内涵。 包括把顺直叫“直同志”也是，都有一个愿景。 收起,0.999999999999652,积极,箱子 同志 词条 百度 项目 同志 全面性 词条 导向 同志 华语 社会 源流 沿革 文化 独特 意义 因素 箱子 男同 污名 病理 确实 同志 同志 活动家 本土 身份 同志 活动家 同志 尊重 平等 内涵 同志 愿景,"[(0, 0.9730162), (1, 0.026983798)]",0
陈普明读高中的时候是异性恋 上了大学被调理成同性恋了！变成了一个同性恋饱饱！ ​,0.993090596364192,积极,陈普明 异性恋 大学,"[(0, 0.22119349), (1, 0.7788065)]",1
//:你们同性恋可真敢编 表哥姐夫我忍了，还有吃过爸爸的真的被吓死,0.137796185681491,消极,表哥 姐夫 爸爸,"[(0, 0.8571857), (1, 0.14281432)]",0
，你是唯一四爱不要，异性恋别来，同性恋更是滚开 ​,0.232240043151187,消极,异性恋,"[(0, 0.503871), (1, 0.49612898)]",0
同性恋被歧视，异性恋无人在意，无性恋是装逼，双性恋很恐怖，只有神性恋万古长存，永垂不朽 ​,0.0834701041359299,消极,异性恋 无人 双性恋 恐怖 神性 万古长存,"[(0, 0.87294954), (1, 0.12705044)]",0
好想這對同性戀//:14+3😭//:兩個禮拜沒更新了我的飯後小點心🥺,0.103448725216401,消极,同性 小點,"[(0, 0.21397702), (1, 0.78602296)]",1
评论区超绝性缘脑 继异性恋不相信女男纯友谊之后同性恋也不相信女女纯友谊了 ​,0.999917069139017,积极,评论 性缘 异性恋 友谊 友谊,"[(0, 0.1620704), (1, 0.8379296)]",1
自愿戒掉同性恋了！分享我的一天经验：6:30-7:00起床并朗读反同语录 7:00-7:30早饭服用中药调理同性恋 7:30-12:00参加反同性恋活动 12:00-12:30午饭服用中药调理同性恋 12:30-13:00朗读反同语录并午睡 13:00-16:30参加反同性恋活动 16:30-18:00给其他同性恋熬中药助力早日康 复 18:00-18:30晚饭服用中药调理同性恋 18:30-20:00听反同性恋讲座 20:00-20:30发表反同活动感言 20:30-21:00给善良的同性恋熬中药助力早日康复 21:00不小心和@-_- 躺在一张床上 收起,0.999949330567773,积极,经验 语录 早饭 中药 午饭 中药 语录 中药 助力 晚饭 中药 讲座 感言 善良 中药 助力 小心 床上,"[(0, 0.9716005), (1, 0.028399538)]",0
我就这样每天发一条//:哥，外面的流言蜚语都乱传的，我在浴室差点滑倒，还好嫂子扶住了我。我身上很滑，嫂子的手指不小心滑进去了，仅此而已。你有什么可生气的?难道我摔残废了你就满意了?我们要是同性恋还有你什么事，不知道你瞎,0.0022738401562471,消极,浴室 差点 嫂子 很滑 嫂子 手指 小心 生气,"[(0, 0.06727627), (1, 0.9327237)]",1
兴趣是看女同性恋 ​,0.672558049827038,中性,兴趣 女同性恋,"[(0, 0.7565692), (1, 0.2434308)]",0
我是同性恋超话讨厌潮湿 ​,0.20598266627036,消极,潮湿,"[(0, 0.2626272), (1, 0.7373728)]",1
如果幸福是同性恋那我是程笑希 ​,0.99560569630405,积极,幸福,"[(0, 0.5950058), (1, 0.4049942)]",0
