评论内容,fenci
店主很热情很友好，还亲手制作赠送咖啡，入住很愉快！整体风格很艺术范，房间干净整洁，一楼是店家开的咖啡厅和酒吧，喜欢的朋友不用远走下楼即是，很方便。地理位置也不错，紧靠湘江边，离岳麓山也很近。,店主 热情 友好 赠送 咖啡 入住 愉快 整体 风格 艺术 房间 干净 整洁 一楼 店家 咖啡厅 酒吧 喜欢 朋友 不用 远走 下楼 地理位置 不错 紧靠
体验感很好诶！！！下次还会来,体验
管家们服务很好很到位，夜丘门口的金桂花很香，门口可以停车也方便,管家 到位 夜丘 停车
很小很小没有电梯。不值得八百吧。,很小 很小 电梯 值得
房间卫生很干净，前台姐姐很热情，也给了很好我出游建议，连很贴心的给了我地铁站到民宿的视频。好喜欢一楼酒吧和咖啡室的气氛，也可以上5楼的画室清静得享受一下，6楼大阳台可以观看到灯光秀哦。,房间 卫生 干净 前台 姐姐 热情 很好 建议 贴心 地铁站 民宿 视频 喜欢 一楼 酒吧 咖啡室 气氛 画室 清静 享受 阳台 观看 灯光
很不错，位置好服务好,不错 位置
干净，服务周到,干净
房间非常好！,房间
位置便利，靠近许多大学和餐馆。顶楼还有一个艺术画廊,位置 便利 靠近 大学 餐馆 顶楼 艺术 画廊
老板娘十分热情 ，环境干净， 距离岳麓山近,老板娘 热情 环境 干净 距离
和照片一样 服务很好,照片
首先 老板真的很！从前期入住开始内容发的都很详细，到了长沙之后问老板好吃的店推荐的也都很好吃～回复也都很及时 其次，房间硬件设施很不错，看得出老板很用心在经营，用的物品也都挺好的，对于一些细节把控也很到位，像水杯跟毛巾都是放在消毒柜里自行取用的，每天也有打扫人员前来帮忙打扫卫生，整体环境空间都很舒服。 周边出行也很方便，不管是从南塔出去还是北塔出行，南塔出去就是坡子街，每次想吃的店一找就发现在自己面前，北塔出去是太平街，如果喜欢夜晚出行的话也很热闹，解放西，文和友都在附近，再往前就是江边。如果来旅行的话，这个位置真的是非常方便了！ 推荐推荐～,老板 入住 内容 详细 老板 好吃 推荐 好吃 回复 房间 硬件 设施 不错 看得出 老板 用心 物品 挺好 细节 到位 水杯 放在 消毒柜 取用 打扫 人员 帮忙 整体 环境 空间 舒服 出行 是从 出行 坡子 发现 喜欢 出行 热闹 解放 文和友 位置 推荐 推荐
千挑万选的民宿，确实没令我们失望，地段非常好 很适合带￼家人一起入住。 太平老街、解放西路、坡子街美食街、文和友、￼杜甫江阁、国金中心￼都在附近，很方便 管家￼服务也很到位，遇到问题马上给解决 下次￼来长沙还是会选择这里￼,民宿 确实 没令 失望 地段 适合 家人 入住 老街 解放 坡子 文和友 国金 中心 管家 到位 解决 选择
酒店的地理位置真的是非常的棒，出门就是黄兴街，文和友，离地铁站也很近。我订的是三室一厅的江景房，真的是江景房，是我很喜欢的，在客厅欣赏风景很是惬意，我们三家人家入住非常舒服，这样的体验也非常的好，总之是非常的满意，老板也很耐心很热心，推荐吃的玩的地方，谢谢。就是提个小小的意见：床头柜最好放置两个，这样两个人的手机充电都方便，床头柜最好也不要是那种镂空的，否则首饰戒指拿下来就没法放容易掉下去。别的真的都很满意，卫生间也非常干净，总之这个价格非常值得，强烈推荐大家入住，之前我来长沙住的是洲际酒店，虽然也很好，但地理位置不是很方便，所以如果再次来的话我还是会选择这家，对于我这种对住很挑剔的人能觉得满意的话大家也不妨试试哦（图片从客厅拍出去的江景实图）,酒店 地理位置 出门 文和友 地铁站 江景 江景 喜欢 客厅 欣赏 风景 惬意 入住 舒服 体验 满意 老板 耐心 热心 推荐 地方 意见 床头柜 放置 手机 充电 床头柜 首饰 戒指 没法 掉下去 满意 卫生间 干净 价格 值得 入住 酒店 地理位置 选择 挑剔 人能 满意 图片 客厅 拍出去 江景 实图
房间在江边新公寓楼，楼下就坡子街、太平老街，离地铁站近。卫生间都是洁具智能马桶，配置很好。每天有阿姨打扫，干净整洁也很安静，住着很舒服。非常推荐！,房间 公寓楼 坡子 老街 地铁站 卫生间 洁具 智能 马桶 配置 打扫 干净 整洁 舒服 推荐
地理位置优越，江景好美，去景点和吃美食都非常方便，房东和管家有问必答，介绍的美食都十分美味。一次非常好的住宿体现，下次来长沙首选住店,地理位置 优越 江景 景点 美食 房东 管家 介绍 美食 住宿 体现 首选 住店
房间很温馨，老板也很贴心，火车上就给我们办理好了入住，特别方便，环境也很好，地段也好，去五一广场太平老街坡子街都是步行就能到了，下次来还会选择这里,房间 老板 贴心 火车 办理 入住 环境 地段 老街 坡子 步行 选择
地段优越，离坡子街和文和友只几分钟。设计有特色，能同时享有江景，，酒店，帐篷，家的感觉，歌唱到嗨，淋浴水很大比许多民宿都好，重要的还有新啊。总之很满意，下次可以住其他房型。真是当家了，图片就凑合着看吧。,地段 优越 离坡子 和友 特色 享有 江景 酒店 帐篷 感觉 歌唱 淋浴 很大 民宿 满意 房型 当家 图片 凑合着 看吧
整洁温馨，地点没得说，客服也非常贴心，只是要加几瓶水，第二天送了水果和一提水。好评！,整洁 地点 客服 贴心 要加 水果 提水 好评
酒店位置非常便利，下楼就是好吃的嗦粉店和繁华的商业街，很方便。房间也很整洁舒适，光线充足，还能看到湘江。,酒店 位置 便利 下楼 好吃 粉店 繁华 商业街 房间 整洁 舒适 光线 充足
真的想给大家推荐这家民宿，特别是第一次去长沙的朋友～位置绝佳，楼下就是网红公交新村米粉！我们四个女生，两张大床，床垫特别舒服，房间很干净，洗护也都不错～卫生间还有洗衣机，开放式厨房还有电磁炉，主打就一个贴心～ 另外还要特别感谢酒店的小妹妹，超级耐心，超级贴心～很有亲和力！半夜打扰也是尽心帮忙！周五去周末回，短暂的行程因为这家民宿更加圆满！五星好评！五星推荐！,推荐 民宿 朋友 位置 网红 公交 女生 大床 床垫 舒服 房间 干净 洗护 不错 卫生间 洗衣机 厨房 电磁炉 主打 贴心 酒店 耐心 贴心 亲和力 打扰 帮忙 短暂 行程 民宿 圆满 好评 推荐
很好的酒店，下次有机会一定还来这里， 卫生每天有阿姨来打扫，房间里的设备一应俱全，包括医药箱都准备齐全,很好 酒店 机会 卫生 打扫 房间 包括 医药箱
房间非常舒服，有智能马桶和浴缸，配了一次性浴缸套马桶套，房间每天有阿姨打扫很干净。下次再来住隔壁复古风房间，路过看起来很不错，哈哈。推荐推荐！,房间 舒服 智能 马桶 浴缸 浴缸 马桶 房间 打扫 干净 房间 路过 不错 推荐 推荐
很好的民宿，配备的用品是住过的民宿最好的之一，值得推荐。下次来长沙还要入住这里，附近超方便，地理位置很好～五一广场、国金、黄兴步行街、坡子街…,很好 民宿 配备 用品 民宿 值得 推荐 入住 地理位置 国金 步行街 坡子
房间非常干净舒适，位置很好，楼层高，可以直接看到橘子洲，距离市中心也近，下楼几分钟就到文和友了。 房间设施齐全，生活便利，装修风格也很棒，房东非常热心，回复很耐心。非常推荐入住。,房间 干净 舒适 位置 楼层 距离 市中心 下楼 文和友 房间 设施 便利 装修 风格 很棒 房东 回复 耐心 推荐 入住
房间视野很好 卫生也很干净 住的很舒服,房间 视野 卫生 干净 舒服
入住酒店真的是从开门那一刻就惊喜一重加一重，全景落地玻璃，湘江一览无余，浴缸旁边也是落地玻璃，边泡澡边欣赏美景你敢想，总之房间美景连北辰洲际这种在他面前也都是弟弟，房间的装修，床品，细节，这老板的审美真是深得我心，就是不知道为什么他们放在携程上的图片比实际差这么多，老板需要好好学习一下拍照技术了,入住 酒店 是从 开门 惊喜 全景 落地 玻璃 浴缸 落地 玻璃 泡澡 欣赏 美景 房间 美景 弟弟 房间 装修 床品 细节 老板 放在 携程 图片 老板 好好学习 拍照 技术
经常出差，酒店我就两个要求，一个安静，隔音好，一个遮光，最好是全遮光窗帘。结果很遗憾，这次入住两个都踩雷了……晚上几乎一夜外面都很吵，路边闹市区人多，楼内可能比较乱，还有年轻人开派对。几乎折腾到凌晨四五点……刚要睡，天亮了，老板选择的的是木质的百叶窗纱帘……遮光效果很差，就这样，几乎一夜没睡早上七点多我就走了……,出差 酒店 隔音 遮光 遮光 窗帘 遗憾 入住 踩雷 闹市区 年轻人 派对 折腾 老板 选择 木质 百叶窗 纱帘 遮光 效果 没睡
位置好，卫生好，有格调，视野也不错 设备和配套在民宿里算下功夫的，家里的设施也很好，不廉价，比同类酒店能打 过来玩住这里很方便附近想吃想逛的都不会太远 对面还有大房间，和朋友家人在来住这里可太合适了,位置 卫生 格调 视野 不错 配套 民宿 下功夫 设施 廉价 同类 酒店 玩住 想逛 对面 房间 朋友家 来住 合适
事实证明选择没错，地段黄金位置，出行极其方便，住宿环境对于比较挑剔的我也是给赞了，洗漱用品都是品牌的，包括纸巾也是品牌的，送的水果也是很新鲜，有什么要求和管家联系后及时到位！总之体验感很好！会建议朋友选择这家！,选择 没错 地段 黄金 位置 出行 住宿 环境 挑剔 给赞 洗漱 用品 品牌 包括 纸巾 品牌 水果 管家 到位 体验 建议 朋友 选择
真的特别棒的民宿 一家人去住也不会拥挤 住的是三室一厅两卫 设施齐全跟在家里一样 洗衣机水吧小冰箱都有满足日常所需 卫生清理也很及时~超级棒,民宿 一家人 拥挤 设施 洗衣机 水吧 冰箱 卫生 清理
不错的住宿体验，两家人住着很好，地理位置也不错，店主很热情，有机会还会去，对了，送的水果也好好吃,不错 住宿 体验 很好 地理位置 不错 店主 热情 机会 水果 好吃
非常满意！房间非常干净 装修很温馨～ 很适合一家人出游、闺蜜出游。 房东人也非常非常好，回复都非常及时。如果再来，还会选择云隐。,满意 房间 干净 装修 适合 一家人 闺蜜 房东 回复 选择
房间很温馨，设施齐全，房东人特别好，问能不能多给点水直接给了一提水，申请延后退房也没收我们钱，很满意！！！！,房间 设施 房东 问能 提水 申请 后退 没收 满意
酒店位于市中心，出入方便，周边都是各种网红打卡点。房间布置温馨，各种设施便利，店主也非常热情，值得推荐。,酒店 位于 市中心 出入 网红 打卡 房间 布置 设施 便利 店主 热情 值得 推荐
位置很便利，无接触入住也很方便，干净卫生，4居室适合几个好友聊天、休闲，很推荐,位置 便利 接触 入住 干净 卫生 居室 适合 好友 休闲 推荐
房间很好，在市中心闹市区，出行消费很方便。有机会再续,房间 市中心 闹市区 出行 机会
位置好，房间很安静，过马路就是老街，吃的很多，旁边有商场,位置 房间 马路 老街 商场
地段位置还好，但房间连个衣柜都没有，很不方便。,地段 位置 还好 房间 衣柜
无接触入住，自我感觉不错，下次还会再来,接触 入住 不错
大早上吵的要死，装修的咚咚咚的，没法睡就是,要死 装修 没法
